"","location_id","latitude","longitude","specie_id","specie_name","location_name","trait_id","trait_name","methodology_id","methodology_name","value"
"1",27,7.81446,-81.759035,1224,"Pocillopora damicornis","Uva Island, Panama",128,"Symbiodinium clade",NA,"","C"
"2",27,7.81446,-81.759035,1224,"Pocillopora damicornis","Uva Island, Panama",128,"Symbiodinium clade",NA,"","C"
"3",27,7.81446,-81.759035,1224,"Pocillopora damicornis","Uva Island, Panama",128,"Symbiodinium clade",NA,"","D"
"4",27,7.81446,-81.759035,1224,"Pocillopora damicornis","Uva Island, Panama",128,"Symbiodinium clade",NA,"","C"
"5",43,29.54973056,34.95620556,1441,"Stylophora pistillata","Eilat, Israel",128,"Symbiodinium clade",53,"Sequencing","A"
"6",44,23.84968333,-166.2974333,1224,"Pocillopora damicornis","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","B"
"7",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","A"
"8",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","C"
"9",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","C"
"10",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","A"
"11",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","C"
"12",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","C"
"13",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","A"
"14",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","A"
"15",44,23.84968333,-166.2974333,994,"Montipora capitata","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","F"
"16",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","C"
"17",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","A"
"18",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","A"
"19",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","C"
"20",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","C"
"21",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","C"
"22",44,23.84968333,-166.2974333,46,"Acropora cytherea","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","A"
"23",44,23.84968333,-166.2974333,994,"Montipora capitata","French Frigate Shoals",128,"Symbiodinium clade",52,"Cloning","F"
"24",46,13.065258,-59.39125,975,"Montastraea cavernosa","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"25",46,13.065258,-59.39125,1395,"Siderastrea siderea","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"26",46,13.065258,-59.39125,1393,"Siderastrea radians","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"27",46,13.065258,-59.39125,589,"Diploria labyrinthiformis","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"28",46,13.065258,-59.39125,204,"Agaricia humilis","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"29",46,13.065258,-59.39125,458,"Colpophyllia natans","Barbados",128,"Symbiodinium clade",51,"DGGE","D"
"30",46,13.065258,-59.39125,458,"Colpophyllia natans","Barbados",128,"Symbiodinium clade",51,"DGGE","D"
"31",46,13.065258,-59.39125,1393,"Siderastrea radians","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"32",46,13.065258,-59.39125,1269,"Porites astreoides","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"33",46,13.065258,-59.39125,978,"Orbicella faveolata","Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"34",46,13.065258,-59.39125,978,"Orbicella faveolata","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"35",46,13.065258,-59.39125,975,"Montastraea cavernosa","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"36",46,13.065258,-59.39125,978,"Orbicella faveolata","Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"37",46,13.065258,-59.39125,1395,"Siderastrea siderea","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"38",46,13.065258,-59.39125,973,"Orbicella annularis","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"39",46,13.065258,-59.39125,973,"Orbicella annularis","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
"40",46,13.065258,-59.39125,201,"Agaricia agaricites","Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"41",46,13.065258,-59.39125,1395,"Siderastrea siderea","Barbados",128,"Symbiodinium clade",51,"DGGE","B"
"42",46,13.065258,-59.39125,973,"Orbicella annularis","Barbados",128,"Symbiodinium clade",51,"DGGE","C"
